soc,ocv_V
5.490000000000000088e-03,2.991428779927120640e+00
4.858899999999999886e-01,3.739895646476402824e+00
7.260799999999999477e-01,3.967774454684755092e+00
8.461800000000000432e-01,4.070422968655872609e+00
9.062299999999999800e-01,4.089161492703736300e+00
9.362599999999999811e-01,4.100032659418494596e+00
9.512699999999999489e-01,4.111200007502904263e+00
9.587700000000000111e-01,4.118603272278637206e+00
9.662800000000000278e-01,4.127224943513097877e+00
9.700299999999999478e-01,4.131974978117697539e+00
9.737900000000000444e-01,4.137004874466609472e+00
9.775399999999999645e-01,4.142310460196658717e+00
9.794199999999999573e-01,4.145063242018783178e+00
9.812899999999999956e-01,4.147883087656075496e+00
9.831699999999999884e-01,4.150774223486084047e+00
9.850499999999999812e-01,4.153746530842709284e+00
9.869200000000000195e-01,4.156812419330526254e+00
9.888000000000000123e-01,4.159983312530977528e+00
9.906800000000000050e-01,4.163275438193851485e+00
9.925500000000000433e-01,4.166731822477607317e+00
9.934899999999999842e-01,4.168550186931958557e+00
9.944300000000000361e-01,4.170451664603770148e+00
9.953699999999999770e-01,4.172458365648805234e+00
9.963100000000000289e-01,4.174612438464467168e+00
9.972400000000000153e-01,4.176983730042214127e+00
9.977099999999999858e-01,4.178277301624776285e+00
9.981799999999999562e-01,4.179677638863918077e+00
9.986500000000000377e-01,4.181199059711724786e+00
9.988899999999999446e-01,4.182050738658265487e+00
9.991200000000000081e-01,4.182984850554659850e+00
9.993499999999999606e-01,4.184050877171673122e+00
9.995899999999999785e-01,4.185360806686965418e+00
9.997099999999999875e-01,4.186150248268983631e+00
9.998200000000000420e-01,4.187148939657442170e+00
9.998799999999999910e-01,4.187761902391356372e+00
9.999400000000000510e-01,4.188515086305407920e+00
9.999700000000000255e-01,4.188960624059773430e+00
9.999900000000000455e-01,4.189206220733714403e+00
1.000000000000000000e+00,4.189402004103494725e+00
